Name,Price,Category,Date,From,Recurring
Gift,7,Gift,"Feb 25, 2021",Venmo,No
Weeknd Concert,210.4,Entertainment,"Feb 25, 2021",Venmo,No
Spotify,4.99,Service,"Feb 24, 2021",Credit,Yes
AlgoExpert,99,Education,"Feb 14, 2021",Credit,No
Chipotle,16.32,Food,"Feb 13, 2021",Credit,No
iPad Paper Screen,9.69,Other,"Feb 7, 2021",Credit,No
Vermont Chocolate,37.8,Gift,"Feb 4, 2021",Credit,No
Raising Cane's,9.59,Food,"Jan 31, 2021",Credit,No
Ben and Jerry's,7.98,Food,"Jan 30, 2021",Credit,No
Gift,7,Gift,"Jan 29, 2021",Venmo,No
Spotify,4.99,Service,"Jan 24, 2021",Credit,Yes
Legend of Zelda,43.09,Entertainment,"Jan 21, 2021",Credit,No
Bonobos,30.17,Clothing,"Jan 15, 2021",Credit,No
Chipotle,19.56,Food,"Jan 13, 2021",Credit,No
Gift,104,Gift,"Jan 8, 2021",Credit,No
